Average runtime of the hanoi program for n going from 0 to 100000 with 20 tests

n = 23500	Runtime = 0.00039461599953938276
n = 23600	Runtime = 0.0004049300005135592
n = 23700	Runtime = 0.00040069399983622134
n = 23800	Runtime = 0.0004067189984198194
n = 23900	Runtime = 0.0004073370000696741
n = 24000	Runtime = 0.000410241998906713
n = 24100	Runtime = 0.00040694900235394016
n = 24200	Runtime = 0.0004118069991818629
n = 24300	Runtime = 0.0004507829980866518
n = 24400	Runtime = 0.00039751900112605654
n = 24500	Runtime = 0.00039725799797452055
n = 24600	Runtime = 0.00039427500087185763
n = 24700	Runtime = 0.0003921410025213845
n = 24800	Runtime = 0.0004069339993293397
n = 24900	Runtime = 0.0004037970029457938
n = 25000	Runtime = 0.00039329900027951226
n = 25100	Runtime = 0.0004483760021685157
n = 25200	Runtime = 0.0004002349996881094
n = 25300	Runtime = 0.0004415990006236825
n = 25400	Runtime = 0.0003985900002589915
n = 25500	Runtime = 0.0004123660000914242
n = 25600	Runtime = 0.0006325719987216871
n = 25700	Runtime = 0.0006994680006755516
n = 25800	Runtime = 0.0006022919988026842
n = 25900	Runtime = 0.0004711270012194291
n = 26000	Runtime = 0.0006133630013209768
n = 26100	Runtime = 0.0006877060004626401
n = 26200	Runtime = 0.0004552079990389757
n = 26300	Runtime = 0.0004395680007291958
n = 26400	Runtime = 0.0004370850001578219
n = 26500	Runtime = 0.00042759500138345174
n = 26600	Runtime = 0.00043737499800045043
n = 26700	Runtime = 0.00043676499990397133
n = 26800	Runtime = 0.0005280209988995921
n = 26900	Runtime = 0.0005510459996003192
n = 27000	Runtime = 0.0006197130023792852
n = 27100	Runtime = 0.0004627740017895121
n = 27200	Runtime = 0.0005205090019444469
n = 27300	Runtime = 0.0006736969990015496
n = 27400	Runtime = 0.0005669170022883918
n = 27500	Runtime = 0.0005408370016084518
n = 27600	Runtime = 0.0004835920008190442
n = 27700	Runtime = 0.0004759399998874869
n = 27800	Runtime = 0.0004740900003525894
n = 27900	Runtime = 0.0004770129999087658
n = 28000	Runtime = 0.00047962399912648834
n = 28100	Runtime = 0.00047224900117726065
n = 28200	Runtime = 0.00047821999760344625
n = 28300	Runtime = 0.0004805060016224161
n = 28400	Runtime = 0.0005840100020577665
n = 28500	Runtime = 0.00048734400115790777
n = 28600	Runtime = 0.0005304770020302385
n = 28700	Runtime = 0.000500841997563839
n = 28800	Runtime = 0.0005008240004826803
n = 28900	Runtime = 0.0005022319965064526
n = 29000	Runtime = 0.0005110420024720952
n = 29100	Runtime = 0.0005743920009990688
n = 29200	Runtime = 0.000516012998559745
n = 29300	Runtime = 0.0005658049994963221
n = 29400	Runtime = 0.0006767570012016222
n = 29500	Runtime = 0.0006897370003571268
n = 29600	Runtime = 0.0007488770024792757
n = 29700	Runtime = 0.0008283000024675857
n = 29800	Runtime = 0.0007771560012770351
n = 29900	Runtime = 0.001034197000990389
n = 30000	Runtime = 0.0006655159995716531
n = 30100	Runtime = 0.0006612040015170351
n = 30200	Runtime = 0.0006667900015600026
n = 30300	Runtime = 0.0007122110000636894
n = 30400	Runtime = 0.00066791500285035
n = 30500	Runtime = 0.0006715409981552511
n = 30600	Runtime = 0.0007034650006971788
n = 30700	Runtime = 0.0007030050001048949
n = 30800	Runtime = 0.0008188869978766888
n = 30900	Runtime = 0.000799047000327846
n = 31000	Runtime = 0.0007845069994800724
n = 31100	Runtime = 0.0007947379999677651
n = 31200	Runtime = 0.0005841620004503056
n = 31300	Runtime = 0.00064332799956901
n = 31400	Runtime = 0.000631046001217328
n = 31500	Runtime = 0.0005766229987784754
n = 31600	Runtime = 0.0005768310002167709
n = 31700	Runtime = 0.0005858910008100793
n = 31800	Runtime = 0.0006007209995004814
n = 31900	Runtime = 0.0006005680006637704
n = 32000	Runtime = 0.0006693760005873628
n = 32100	Runtime = 0.0006329399984679185
n = 32200	Runtime = 0.0006284319970291108
n = 32300	Runtime = 0.000777772998844739
n = 32400	Runtime = 0.0007205290021374822
n = 32500	Runtime = 0.0006288959993980825
n = 32600	Runtime = 0.0006831280006736051
n = 32700	Runtime = 0.0006206180005392525
n = 32800	Runtime = 0.0006129370012786239
n = 32900	Runtime = 0.0006155379996926058
n = 33000	Runtime = 0.0006220309987838846
n = 33100	Runtime = 0.0006242000017664395
n = 33200	Runtime = 0.0006501000025309622
n = 33300	Runtime = 0.0006290399978752248
n = 33400	Runtime = 0.0006341280022752471
n = 33500	Runtime = 0.0006763229976058938
n = 33600	Runtime = 0.0006392399991455022
n = 33700	Runtime = 0.0006382950014085509
n = 33800	Runtime = 0.000648170000204118
n = 33900	Runtime = 0.0007293490016309079
n = 34000	Runtime = 0.0007965619988681283
