Runtime of the suite program for n going from 0 to 100000

n = 24800	Runtime = 0.0003879979994962923
n = 24900	Runtime = 0.00040352900032303296
n = 25000	Runtime = 0.0003923679978470318
n = 25100	Runtime = 0.0003908219987351913
n = 25200	Runtime = 0.00039566700070281513
n = 25300	Runtime = 0.0003956869986723177
n = 25400	Runtime = 0.00039770199873601086
n = 25500	Runtime = 0.0004121290003240574
n = 25600	Runtime = 0.0004656909986806568
n = 25700	Runtime = 0.00043415400068624876
n = 25800	Runtime = 0.0005225880013313144
n = 25900	Runtime = 0.0005373839994717855
n = 26000	Runtime = 0.0005556409996643197
n = 26100	Runtime = 0.0004809749989362899
n = 26200	Runtime = 0.0004353949989308603
n = 26300	Runtime = 0.0004495700013649184
n = 26400	Runtime = 0.0004929329988954123
n = 26500	Runtime = 0.0004266840005584527
n = 26600	Runtime = 0.00043525200089788996
n = 26700	Runtime = 0.00043446000199764967
n = 26800	Runtime = 0.00045017799857305363
n = 26900	Runtime = 0.0005158140011189971
n = 27000	Runtime = 0.0006688309986202512
n = 27100	Runtime = 0.0005854310002177954
n = 27200	Runtime = 0.0006921849999343976
n = 27300	Runtime = 0.0005613350003841333
n = 27400	Runtime = 0.0004614259996742476
n = 27500	Runtime = 0.00046552400090149604
n = 27600	Runtime = 0.0004655619995901361
n = 27700	Runtime = 0.0004706110012193676
n = 27800	Runtime = 0.00046807300168438815
n = 27900	Runtime = 0.0004674989977502264
n = 28000	Runtime = 0.0005349120001483243
n = 28100	Runtime = 0.0004830760008189827
n = 28200	Runtime = 0.0004891060016234405
n = 28300	Runtime = 0.0004916020006930921
n = 28400	Runtime = 0.0005068439968454186
n = 28500	Runtime = 0.0004937250014336314
n = 28600	Runtime = 0.0004971659982402343
n = 28700	Runtime = 0.0005079049988125917
n = 28800	Runtime = 0.0005578010022873059
n = 28900	Runtime = 0.0005103080002299976
n = 29000	Runtime = 0.0005193729994061869
n = 29100	Runtime = 0.0005218299993430264
n = 29200	Runtime = 0.0005226140019658487
n = 29300	Runtime = 0.0005312130015227012
n = 29400	Runtime = 0.0005407440003182273
n = 29500	Runtime = 0.0005876959985471331
n = 29600	Runtime = 0.0005468649978865869
n = 29700	Runtime = 0.0005443260015454143
n = 29800	Runtime = 0.0005535080017580185
n = 29900	Runtime = 0.0005529610025405418
n = 30000	Runtime = 0.0005497600031958427
n = 30100	Runtime = 0.0008827870005916338
n = 30200	Runtime = 0.0006233359999896493
n = 30300	Runtime = 0.0005487260023073759
n = 30400	Runtime = 0.0005520269987755455
n = 30500	Runtime = 0.0005538100012927316
n = 30600	Runtime = 0.0005591400004050229
n = 30700	Runtime = 0.000560700998903485
n = 30800	Runtime = 0.0005612789973383769
n = 30900	Runtime = 0.0006253069986996707
n = 31000	Runtime = 0.0005684249990736134
n = 31100	Runtime = 0.0006012829981045797
n = 31200	Runtime = 0.0005931740015512332
n = 31300	Runtime = 0.0005755240017606411
n = 31400	Runtime = 0.0005734500009566545
n = 31500	Runtime = 0.0005737790015700739
n = 31600	Runtime = 0.0006057620012143161
n = 31700	Runtime = 0.0005851450005138759
n = 31800	Runtime = 0.0005977449982310645
n = 31900	Runtime = 0.0005985390016576275
n = 32000	Runtime = 0.0006015069993736688
n = 32100	Runtime = 0.0005940310002188198
n = 32200	Runtime = 0.0006445799990615342
n = 32300	Runtime = 0.0005954389998805709
n = 32400	Runtime = 0.0006491530002676882
n = 32500	Runtime = 0.0006291970021266025
n = 32600	Runtime = 0.0006176909992063884
n = 32700	Runtime = 0.0006190080021042377
n = 32800	Runtime = 0.0007907990002422594
n = 32900	Runtime = 0.000736021000193432
n = 33000	Runtime = 0.0006210230021679308
n = 33100	Runtime = 0.0006232729974726681
n = 33200	Runtime = 0.0006474060028267559
n = 33300	Runtime = 0.000626741999440128
n = 33400	Runtime = 0.0006364000000758097
n = 33500	Runtime = 0.0006606329989153892
n = 33600	Runtime = 0.0006383939980878495
n = 33700	Runtime = 0.0006370390001393389
n = 33800	Runtime = 0.0006903579997015186
n = 33900	Runtime = 0.0006578809989150614
n = 34000	Runtime = 0.0006548359997395892
n = 34100	Runtime = 0.0006489510014944244
n = 34200	Runtime = 0.000651294001727365
n = 34300	Runtime = 0.0006559629982803017
n = 34400	Runtime = 0.0006751790024281945
n = 34500	Runtime = 0.0006988709974393714
n = 34600	Runtime = 0.0007629860010638367
n = 34700	Runtime = 0.000758901998779038
n = 34800	Runtime = 0.0007065770005283412
n = 34900	Runtime = 0.0006980060024943668
n = 35000	Runtime = 0.0007048109982861206
n = 35100	Runtime = 0.0007166290015447885
n = 35200	Runtime = 0.0008218069997383282
n = 35300	Runtime = 0.0009564309984853026
n = 35400	Runtime = 0.0010254530025122222
n = 35500	Runtime = 0.0009396100031153765
n = 35600	Runtime = 0.0008444550003332552
n = 35700	Runtime = 0.0008030680000956636
n = 35800	Runtime = 0.0007369140002992935
n = 35900	Runtime = 0.0007417550004902296
n = 36000	Runtime = 0.0007948430029500742
n = 36100	Runtime = 0.0008018699991225731
n = 36200	Runtime = 0.0007173199992394075
n = 36300	Runtime = 0.0007229040020320099
n = 36400	Runtime = 0.0007592029978695791
n = 36500	Runtime = 0.0007632269989699125
n = 36600	Runtime = 0.0007708019984420389
n = 36700	Runtime = 0.000816281000879826
n = 36800	Runtime = 0.0007681639981456101
n = 36900	Runtime = 0.0007366579993686173
n = 37000	Runtime = 0.000755461001972435
n = 37100	Runtime = 0.0007476050013792701
n = 37200	Runtime = 0.0008281739974336233
n = 37300	Runtime = 0.0009462759990128689
n = 37400	Runtime = 0.0010500449971004855
n = 37500	Runtime = 0.001019175000692485
n = 37600	Runtime = 0.001032369000313338
n = 37700	Runtime = 0.0009305420026066713
n = 37800	Runtime = 0.000774226999055827
n = 37900	Runtime = 0.0007770919983158819
n = 38000	Runtime = 0.0009192629986500833
n = 38100	Runtime = 0.0008447939981124364
n = 38200	Runtime = 0.0007946760015329346
n = 38300	Runtime = 0.0007963919997564517
n = 38400	Runtime = 0.0008104230000753887
n = 38500	Runtime = 0.0008030039971345104
n = 38600	Runtime = 0.0008053319979808293
n = 38700	Runtime = 0.0008137959994201083
n = 38800	Runtime = 0.0008172529996954836
n = 38900	Runtime = 0.000821542002086062
n = 39000	Runtime = 0.0010794260015245527
n = 39100	Runtime = 0.0008759889969951473
n = 39200	Runtime = 0.0009791000011318829
n = 39300	Runtime = 0.0010000570000556763
n = 39400	Runtime = 0.0010462190002726857
n = 39500	Runtime = 0.0008963779982877895
n = 39600	Runtime = 0.0008699280006112531
n = 39700	Runtime = 0.000854298999911407
n = 39800	Runtime = 0.0008707259985385463
n = 39900	Runtime = 0.000908294998225756
n = 40000	Runtime = 0.0009048129977600183
n = 40100	Runtime = 0.0008859619993017986
n = 40200	Runtime = 0.000893650998477824
n = 40300	Runtime = 0.0009376939997309819
n = 40400	Runtime = 0.0008930820004025009
n = 40500	Runtime = 0.0009074009976757225
n = 40600	Runtime = 0.0008777559996815398
n = 40700	Runtime = 0.0009428689991182182
n = 40800	Runtime = 0.0009407170000486076
n = 40900	Runtime = 0.0008913139972719364
n = 41000	Runtime = 0.0011486189978313632
n = 41100	Runtime = 0.00090539599841577
n = 41200	Runtime = 0.0009598529977665748
n = 41300	Runtime = 0.0008974749980552588
n = 41400	Runtime = 0.000920875998417614
n = 41500	Runtime = 0.0009248089991160668
n = 41600	Runtime = 0.0009458729982725345
n = 41700	Runtime = 0.0009533199990983121
n = 41800	Runtime = 0.000918661000469001
n = 41900	Runtime = 0.0009213900011673104
n = 42000	Runtime = 0.0009526319990982302
n = 42100	Runtime = 0.0009370910011057276
n = 42200	Runtime = 0.0009458019994781353
n = 42300	Runtime = 0.0009682990021246951
n = 42400	Runtime = 0.0009724730007292237
n = 42500	Runtime = 0.0009381180025229696
n = 42600	Runtime = 0.0009519439990981482
n = 42700	Runtime = 0.0010406900000816677
n = 42800	Runtime = 0.0012331220023042988
n = 42900	Runtime = 0.0009855950011115056
n = 43000	Runtime = 0.0009703180003270973
n = 43100	Runtime = 0.0009687889978522435
n = 43200	Runtime = 0.0009829660011746455
n = 43300	Runtime = 0.0009757090010680258
n = 43400	Runtime = 0.0010382859982200898
n = 43500	Runtime = 0.0009979979986383114
n = 43600	Runtime = 0.0010437499986437615
n = 43700	Runtime = 0.0009995339969464112
n = 43800	Runtime = 0.0010129389993380755
n = 43900	Runtime = 0.0010115400000358932
n = 44000	Runtime = 0.0010664440014807042
n = 44100	Runtime = 0.0010195050017500762
n = 44200	Runtime = 0.001073851999535691
n = 44300	Runtime = 0.0013590019989351276
n = 44400	Runtime = 0.0012405670022417326
n = 44500	Runtime = 0.0010308349992556032
n = 44600	Runtime = 0.0010483719997864682
n = 44700	Runtime = 0.0011012100003426895
n = 44800	Runtime = 0.0010568799989414401
n = 44900	Runtime = 0.0011027649998140987
n = 45000	Runtime = 0.0010724670028139371
n = 45100	Runtime = 0.0011013629991794005
n = 45200	Runtime = 0.0010620899993227795
n = 45300	Runtime = 0.0010761159974208567
n = 45400	Runtime = 0.0011006849999830592
n = 45500	Runtime = 0.0011487240008136723
n = 45600	Runtime = 0.0011055940012738574
n = 45700	Runtime = 0.0010911520002991892
n = 45800	Runtime = 0.0011288120003882796
n = 45900	Runtime = 0.0013429579994408414
n = 46000	Runtime = 0.0011453379993326962
n = 46100	Runtime = 0.0011530900010257028
n = 46200	Runtime = 0.0011187939999217633
n = 46300	Runtime = 0.0011248810005781706
n = 46400	Runtime = 0.0011687459991662763
n = 46500	Runtime = 0.0011244400011491962
n = 46600	Runtime = 0.0011208159994566813
n = 46700	Runtime = 0.0011350399981893133
n = 46800	Runtime = 0.0011395480032660998
n = 46900	Runtime = 0.0011333789989294019
n = 47000	Runtime = 0.0011851220006064977
n = 47100	Runtime = 0.0011543920008989517
n = 47200	Runtime = 0.0011954709989367984
n = 47300	Runtime = 0.0014428829999815207
n = 47400	Runtime = 0.0011538750004547182
n = 47500	Runtime = 0.0012134540011174977
n = 47600	Runtime = 0.0011682500007736962
n = 47700	Runtime = 0.0011588500019570347
n = 47800	Runtime = 0.0012408820002747234
n = 47900	Runtime = 0.0011778980006056372
n = 48000	Runtime = 0.0011772709985962138
n = 48100	Runtime = 0.0011820830004580785
n = 48200	Runtime = 0.0011840719998872373
n = 48300	Runtime = 0.0011883580009452999
n = 48400	Runtime = 0.001204484000481898
n = 48500	Runtime = 0.0012569140017149039
n = 48600	Runtime = 0.0011727549972420093
n = 48700	Runtime = 0.0014156590004859027
n = 48800	Runtime = 0.0011883260012837127
n = 48900	Runtime = 0.0011325159975967836
n = 49000	Runtime = 0.0011380510004528333
n = 49100	Runtime = 0.001152663000539178
n = 49200	Runtime = 0.0012059210021106992
n = 49300	Runtime = 0.0011360249991412275
n = 49400	Runtime = 0.0011459209999884479
n = 49500	Runtime = 0.0011772500001825392
n = 49600	Runtime = 0.0012003330011793878
n = 49700	Runtime = 0.0011650789965642616
n = 49800	Runtime = 0.0011834400029329117
n = 49900	Runtime = 0.0012020580034004524
n = 50000	Runtime = 0.001163837001513457
n = 50100	Runtime = 0.001411989000189351
n = 50200	Runtime = 0.0012025440009892918
n = 50300	Runtime = 0.0011707470002875198
n = 50400	Runtime = 0.0011849539987451863
n = 50500	Runtime = 0.001180571001896169
n = 50600	Runtime = 0.0012201680001453497
n = 50700	Runtime = 0.0011780650020227768
n = 50800	Runtime = 0.0011940939984924626
n = 50900	Runtime = 0.0011869609988934826
n = 51000	Runtime = 0.0012222010009281803
n = 51100	Runtime = 0.0012461840015021153
n = 51200	Runtime = 0.0012592790008056909
n = 51300	Runtime = 0.0012125989997002762
n = 51400	Runtime = 0.0014809800013608765
n = 51500	Runtime = 0.0012837539979955181
n = 51600	Runtime = 0.0012161589984316379
n = 51700	Runtime = 0.0012188789987703785
n = 51800	Runtime = 0.0012258480019227136
n = 51900	Runtime = 0.0012787849991582334
n = 52000	Runtime = 0.0012407969988998957
n = 52100	Runtime = 0.0012398500002746005
n = 52200	Runtime = 0.0012466759981180076
n = 52300	Runtime = 0.001263399997696979
n = 52400	Runtime = 0.0012740109996229876
n = 52500	Runtime = 0.0012811330016120337
n = 52600	Runtime = 0.0012937270003021695
n = 52700	Runtime = 0.001567666000482859
n = 52800	Runtime = 0.0012791379995178431
n = 52900	Runtime = 0.0012927110001328401
n = 53000	Runtime = 0.0013221059998613782
n = 53100	Runtime = 0.0012891900005342904
n = 53200	Runtime = 0.0013588660003733821
n = 53300	Runtime = 0.0013644879982166458
n = 53400	Runtime = 0.0012987139998585917
n = 53500	Runtime = 0.0013097839982947335
n = 53600	Runtime = 0.0013873560019419529
n = 53700	Runtime = 0.0013452700004563667
n = 53800	Runtime = 0.0013266759997350164
n = 53900	Runtime = 0.0013695929992536549
n = 54000	Runtime = 0.0016077500004030298
n = 54100	Runtime = 0.001346322002063971
n = 54200	Runtime = 0.0014463830011663958
n = 54300	Runtime = 0.0013472950013238005
n = 54400	Runtime = 0.0013825700007146224
n = 54500	Runtime = 0.001383651000651298
n = 54600	Runtime = 0.0013366649982344825
n = 54700	Runtime = 0.0013597610013675876
n = 54800	Runtime = 0.001484925000113435
n = 54900	Runtime = 0.001412558001902653
n = 55000	Runtime = 0.0013710989987885114
n = 55100	Runtime = 0.0015772580009070225
n = 55200	Runtime = 0.0015231840006890707
n = 55300	Runtime = 0.0014176619988575112
n = 55400	Runtime = 0.001406268998835003
n = 55500	Runtime = 0.0013889740002923645
n = 55600	Runtime = 0.0014436730016313959
n = 55700	Runtime = 0.001386329997330904
n = 55800	Runtime = 0.0013851280018570833
n = 55900	Runtime = 0.0013859659993613604
n = 56000	Runtime = 0.001393340000504395
n = 56100	Runtime = 0.0013974749999761116
n = 56200	Runtime = 0.0014959490035835188
n = 56300	Runtime = 0.0016803320031613111
n = 56400	Runtime = 0.0014333639992401004
n = 56500	Runtime = 0.0014262839977163821
n = 56600	Runtime = 0.0014366110008268151
n = 56700	Runtime = 0.001533923001261428
n = 56800	Runtime = 0.0014541320015268866
n = 56900	Runtime = 0.0014335320011014119
n = 57000	Runtime = 0.0014434259974223096
n = 57100	Runtime = 0.0014418989994737785
n = 57200	Runtime = 0.0014519750002364162
n = 57300	Runtime = 0.0014808190026087686
n = 57400	Runtime = 0.0017413220011803787
n = 57500	Runtime = 0.0015174750005826354
n = 57600	Runtime = 0.0014689419986098073
n = 57700	Runtime = 0.0014639200016972609
n = 57800	Runtime = 0.0015104160011105705
n = 57900	Runtime = 0.0015240329994412605
n = 58000	Runtime = 0.001525462997960858
n = 58100	Runtime = 0.0015271150004991796
n = 58200	Runtime = 0.0015098000003490597
n = 58300	Runtime = 0.0015896599979896564
n = 58400	Runtime = 0.0015212059988698456
n = 58500	Runtime = 0.001774987998942379
n = 58600	Runtime = 0.00200960699658026
n = 58700	Runtime = 0.0015668140003981534
n = 58800	Runtime = 0.0016272439970634878
n = 58900	Runtime = 0.0016743460000725463
n = 59000	Runtime = 0.001609570001164684
n = 59100	Runtime = 0.0016066099997260608
n = 59200	Runtime = 0.0016277830000035465
n = 59300	Runtime = 0.0016219860008277465
n = 59400	Runtime = 0.001622575000510551
n = 59500	Runtime = 0.0018363769995630719
n = 59600	Runtime = 0.0016526670005987398
n = 59700	Runtime = 0.0017839070023910608
n = 59800	Runtime = 0.0016379180015064776
n = 59900	Runtime = 0.0016456759985885583
n = 60000	Runtime = 0.0017398499985574745
n = 60100	Runtime = 0.0016631409998808522
n = 60200	Runtime = 0.0016915369997150265
n = 60300	Runtime = 0.0016514630005985964
n = 60400	Runtime = 0.0020676189997175243
n = 60500	Runtime = 0.002046809000603389
n = 60600	Runtime = 0.0017969149994314648
n = 60700	Runtime = 0.0017705240024952218
n = 60800	Runtime = 0.001803388000553241
n = 60900	Runtime = 0.001767250996635994
n = 61000	Runtime = 0.0017204430005222093
n = 61100	Runtime = 0.0017327860005025286
n = 61200	Runtime = 0.0016872189989953768
n = 61300	Runtime = 0.0017327900022792164
n = 61400	Runtime = 0.0019381170022825245
n = 61500	Runtime = 0.00212870900213602
n = 61600	Runtime = 0.001664175000769319
n = 61700	Runtime = 0.001702528003079351
n = 61800	Runtime = 0.001758432001224719
n = 61900	Runtime = 0.0017128110011981335
n = 62000	Runtime = 0.001765872999385465
n = 62100	Runtime = 0.0017056880024028942
n = 62200	Runtime = 0.001769112001056783
n = 62300	Runtime = 0.0020904449993395247
n = 62400	Runtime = 0.0017953960013983306
n = 62500	Runtime = 0.0017257389990845695
n = 62600	Runtime = 0.0017125519989349414
n = 62700	Runtime = 0.0018107670002791565
n = 62800	Runtime = 0.001715264002996264
n = 62900	Runtime = 0.001795994998246897
